id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
lOpzwMkp/,lOpzwMkp8,8,6,Tomas Pekhart (FC Nurnberg) wins a free kick on the right wing.,8,,2,Nurnberg,Hertha Berlin,tomas pekhart,,,,,,0,5.0,,0,,0
lOpzwMkp/,lOpzwMkp9,9,7,Hand ball by Tomas Pekhart (FC Nurnberg).,10,,2,Nurnberg,Hertha Berlin,tomas pekhart,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp10,10,7,"Corner,  FC Nurnberg. Conceded by Andre Mijatovic.",2,,2,Nurnberg,Hertha Berlin,andre mijatovic,andre mijatovic,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp11,11,8,Attempt missed. Timm Klose (FC Nurnberg) right footed shot from the centre of the box is too high following a corner.,1,,2,Nurnberg,Hertha Berlin,timm klose,,,,10.0,2.0,0,3.0,1.0,0,3.0,0
lOpzwMkp/,lOpzwMkp12,12,9,Levan Kobiashvili (Hertha Berlin) wins a free kick in the defensive half.,8,,1,Hertha Berlin,Nurnberg,levan kobiashvili,,,,,,0,2.0,,0,,0
lOpzwMkp/,lOpzwMkp13,13,9,Patrick Ebert (Hertha Berlin) wins a free kick on the right wing.,8,,1,Hertha Berlin,Nurnberg,patrick ebert,,,,,,0,5.0,,0,,0
lOpzwMkp/,lOpzwMkp14,14,9,Foul by Markus Mendler (FC Nurnberg).,3,,2,Nurnberg,Hertha Berlin,markus mendler,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp15,15,9,Foul by Javier Pinola (FC Nurnberg).,3,,2,Nurnberg,Hertha Berlin,javier pinola,,,,,,0,,,0,,0
lOpzwMkp/,lOpzwMkp16,16,10,Attempt missed. Andreas Ottl (Hertha Berlin) right footed shot from outside the box misses to the right following a set piece situation.,1,,1,Hertha Berlin,Nurnberg,andreas ottl,,,,9.0,2.0,0,15.0,1.0,0,2.0,0
lOpzwMkp/,lOpzwMkp17,17,10,Attempt missed. Markus Mendler (FC Nurnberg) left footed shot from outside the box misses to the right.,1,,2,Nurnberg,Hertha Berlin,markus mendler,,,,9.0,2.0,0,15.0,2.0,0,1.0,0
lOpzwMkp/,lOpzwMkp18,18,11,Andreas Ottl (Hertha Berlin) wins a free kick in the defensive half.,8,,1,Hertha Berlin,Nurnberg,andreas ottl,,,,,,0,2.0,,0,,0
